City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Qaanaaq,77.48,-69.36,-4.75,81,5,2.88,GL,1602827876
Kirksville,40.19,-92.58,3.33,74,1,2.1,US,1602828007
Mataura,-46.19,168.86,8.89,85,100,4.02,NZ,1602828143
Coahuayana Viejo,18.73,-103.68,25.72,89,98,1.44,MX,1602828144
Mae Hong Son,19.3,97.97,30.0,66,40,2.1,TH,1602828144
Rikitea,-23.12,-134.97,23.56,77,100,7.63,PF,1602827990
Naze,28.37,129.48,28.0,69,75,3.6,JP,1602828144
Colares,38.8,-9.45,13.89,94,0,5.36,PT,1602828145
Tual,-5.67,132.75,27.5,82,40,7.92,ID,1602828145
Rocha,-34.48,-54.33,11.63,94,79,2.12,UY,1602827906
Port Alfred,-33.59,26.89,18.94,69,42,1.3,ZA,1602828145
Aklavik,68.22,-135.01,-8.0,85,90,4.1,CA,1602828145
Carnarvon,-24.87,113.63,25.0,61,0,8.7,AU,1602828145
Norman Wells,65.28,-126.83,-12.0,85,40,3.6,CA,1602827883
Zainsk,55.32,52.07,13.0,58,8,8.0,RU,1602828118
Varhaug,58.61,5.65,2.0,93,20,0.5,NO,1602828146
Rikitea,-23.12,-134.97,23.56,77,100,7.63,PF,1602827990
Port Alfred,-33.59,26.89,18.94,69,42,1.3,ZA,1602828145
Lavrentiya,65.58,-171.0,3.34,94,100,11.51,RU,1602828147
Minsk,53.9,27.57,7.0,100,90,3.0,BY,1602828147
Ushuaia,-54.8,-68.3,4.0,93,75,8.2,AR,1602828091
Mar del Plata,-38.0,-57.56,14.0,100,90,4.6,AR,1602827963
Lüderitz,-26.65,15.16,19.61,47,0,2.32,NA,1602828148
Mossamedes,-15.2,12.15,21.13,73,77,2.37,AO,1602828148
Cape Town,-33.93,18.42,16.0,63,92,2.6,ZA,1602827933
Atuona,-9.8,-139.03,25.96,76,1,8.94,PF,1602828149
Hong Kong,22.29,114.16,30.56,48,42,4.92,HK,1602827864
Ushuaia,-54.8,-68.3,4.0,93,75,8.2,AR,1602828091
Atuona,-9.8,-139.03,25.96,76,1,8.94,PF,1602828149
Bengkulu,-3.8,102.27,29.7,66,57,3.66,ID,1602828150
Ushuaia,-54.8,-68.3,4.0,93,75,8.2,AR,1602828091
Zorgo,12.25,-0.62,25.53,70,0,3.02,BF,1602828150
Airai,-8.93,125.41,25.5,46,97,1.6,TL,1602827881
Bengkulu,-3.8,102.27,29.7,66,57,3.66,ID,1602828150
Fortuna,40.6,-124.16,12.0,81,1,3.6,US,1602827895
Kruisfontein,-34.0,24.73,19.44,71,49,1.79,ZA,1602828151
Bredasdorp,-34.53,20.04,13.0,93,100,1.5,ZA,1602828151
Barcelos,41.54,-8.62,11.11,71,16,2.6,PT,1602828131
San Cristobal,7.77,-72.22,18.12,83,10,1.26,VE,1602827926
Mataura,-46.19,168.86,8.89,85,100,4.02,NZ,1602828143
Kruisfontein,-34.0,24.73,19.44,71,49,1.79,ZA,1602828151
Khatanga,71.97,102.5,-15.95,93,28,3.1,RU,1602828152
Thompson,55.74,-97.86,-4.0,92,75,5.7,CA,1602828153
Saint-Philippe,-21.36,55.77,26.0,65,17,3.1,RE,1602828153
Labuhan,-6.88,112.21,31.96,53,52,4.88,ID,1602828154
Yellowknife,62.46,-114.35,-3.89,73,90,6.7,CA,1602828086
Kununurra,-15.77,128.73,38.0,21,0,3.6,AU,1602827942
Busselton,-33.65,115.33,22.22,32,5,2.81,AU,1602828154
Oloron-Sainte-Marie,43.19,-0.61,4.0,93,53,1.5,FR,1602828155
Bengkulu,-3.8,102.27,29.7,66,57,3.66,ID,1602828150
Bluff,-46.6,168.33,8.89,85,100,4.02,NZ,1602828155
Krasnaya Gora,53.0,31.6,9.0,100,90,4.0,RU,1602828155
Punta Arenas,-53.15,-70.92,7.0,75,64,9.8,CL,1602827923
Kaspiysk,42.88,47.64,18.0,63,36,1.0,RU,1602828156
Assiniboia,49.63,-105.98,-0.05,91,54,5.28,CA,1602828156
Egvekinot,66.32,-179.17,1.48,100,100,4.6,RU,1602827926
Kloulklubed,7.04,134.26,31.0,66,75,4.1,PW,1602828157
Ushuaia,-54.8,-68.3,4.0,93,75,8.2,AR,1602828091
Honiara,-9.43,159.95,31.0,66,20,3.1,SB,1602828157
Port Alfred,-33.59,26.89,18.94,69,42,1.3,ZA,1602828145
Hilo,19.73,-155.09,26.0,74,1,3.26,US,1602828158
Geraldton,-28.77,114.6,24.0,53,76,10.3,AU,1602828158
Bara,10.37,10.73,24.2,79,69,2.25,NG,1602828159
Galesong,-5.32,119.37,34.0,49,20,4.6,ID,1602828159
Katsuura,35.13,140.3,19.44,48,98,0.89,JP,1602828159
Carauari,-4.88,-66.9,22.44,98,53,0.85,BR,1602828160
Weligama,5.97,80.42,29.76,68,82,7.06,LK,1602828160
Inhambane,-23.86,35.38,22.0,88,20,1.03,MZ,1602828160
Huilong,31.81,121.66,18.33,82,100,4.14,CN,1602828161
Rørvik,64.86,11.24,7.0,87,75,2.6,NO,1602828161
Mossamedes,-15.2,12.15,21.13,73,77,2.37,AO,1602828148
Punta Arenas,-53.15,-70.92,7.0,75,64,9.8,CL,1602827923
Pangnirtung,66.15,-65.71,3.15,76,100,3.43,CA,1602828161
Nikolskoye,59.7,30.79,2.22,93,75,2.0,RU,1602828161
Kapaa,22.08,-159.32,26.0,78,1,3.1,US,1602828162
Krasnosel'kup,65.7,82.47,-0.54,96,100,5.37,RU,1602828162
San Patricio,28.02,-97.52,26.11,88,90,2.6,US,1602828162
Vaini,-21.2,-175.2,24.0,88,75,3.1,TO,1602828163
Merrill,45.18,-89.68,2.0,92,40,1.5,US,1602828163
Kapaa,22.08,-159.32,26.0,78,1,3.1,US,1602828162
Bambous Virieux,-20.34,57.76,26.67,88,75,3.6,MU,1602828163
Hong Kong,22.29,114.16,30.56,48,42,4.92,HK,1602827864
Sisimiut,66.94,-53.67,4.07,74,100,5.26,GL,1602828163
Rikitea,-23.12,-134.97,23.56,77,100,7.63,PF,1602827990
Virginia Beach,36.85,-75.98,21.67,85,0,0.45,US,1602828060
Vaini,-21.2,-175.2,24.0,88,75,3.1,TO,1602828163
Khatanga,71.97,102.5,-15.95,93,28,3.1,RU,1602828152
Batticaloa,7.71,81.69,33.29,49,91,3.44,LK,1602828164
Mahébourg,-20.41,57.7,23.0,88,75,3.6,MU,1602828164
Kaitangata,-46.28,169.85,8.33,82,100,7.15,NZ,1602828165
Saint-Philippe,-21.36,55.77,26.0,65,17,3.1,RE,1602828153
Punta Arenas,-53.15,-70.92,7.0,75,64,9.8,CL,1602827923
Varhaug,58.61,5.65,2.0,93,20,0.5,NO,1602828146
Barrow,71.29,-156.79,-6.0,73,90,8.2,US,1602828165
Sakaiminato,35.55,133.23,21.0,56,75,5.7,JP,1602828166
Ushuaia,-54.8,-68.3,4.0,93,75,8.2,AR,1602828091
Merauke,-8.47,140.33,28.74,63,67,9.96,ID,1602828166
Port Hardy,50.7,-127.42,8.0,100,90,4.1,CA,1602828167
Ulladulla,-35.35,150.47,16.0,63,90,4.6,AU,1602828167
Jamestown,42.1,-79.24,8.33,93,90,3.1,US,1602828167
Hermanus,-34.42,19.23,16.67,75,99,4.02,ZA,1602828167
Mar del Plata,-38.0,-57.56,14.0,100,90,4.6,AR,1602827963
Hilo,19.73,-155.09,26.0,74,1,3.26,US,1602828158
Ribeira Grande,38.52,-28.7,20.5,84,34,6.6,PT,1602828168
Cape Town,-33.93,18.42,16.0,63,92,2.6,ZA,1602827933
Marawi,8.0,124.29,28.33,83,100,2.68,PH,1602828169
Gwadar,25.12,62.33,30.46,23,0,6.31,PK,1602828169
Turaif,31.67,38.66,17.0,59,20,3.1,SA,1602828169
Wilmington,34.23,-77.94,21.67,94,75,2.28,US,1602828028
Rikitea,-23.12,-134.97,23.56,77,100,7.63,PF,1602827990
George Town,5.41,100.34,32.0,79,40,3.1,MY,1602828014
Saskylakh,71.92,114.08,-8.85,96,96,3.58,RU,1602828170
Adrar,20.5,-10.07,28.75,15,4,3.87,MR,1602828170
Lexington,37.99,-84.48,9.44,81,90,3.6,US,1602828170
Hilo,19.73,-155.09,26.0,74,1,3.26,US,1602828158
Bilibino,68.05,166.44,-2.89,94,88,1.57,RU,1602828170
Mago,53.25,140.18,3.42,63,81,4.78,RU,1602828171
Ushuaia,-54.8,-68.3,4.0,93,75,8.2,AR,1602828091
Yellowknife,62.46,-114.35,-3.89,73,90,6.7,CA,1602828086
George Town,5.41,100.34,32.0,79,40,3.1,MY,1602828014
Ushuaia,-54.8,-68.3,4.0,93,75,8.2,AR,1602828091
Busselton,-33.65,115.33,22.22,32,5,2.81,AU,1602828154
Okhotsk,59.38,143.3,-1.24,83,47,2.96,RU,1602828171
Illapel,-31.63,-71.17,13.31,78,0,0.3,CL,1602828172
East London,-33.02,27.91,18.0,77,5,2.1,ZA,1602828172
Padang,-0.95,100.35,30.05,59,94,2.17,ID,1602828172
Chokurdakh,70.63,147.92,-0.48,99,100,5.76,RU,1602827894
Inhambane,-23.86,35.38,22.0,88,20,1.03,MZ,1602828160
Albany,42.6,-73.97,15.0,60,91,2.12,US,1602827898
Port Elizabeth,-33.92,25.57,17.0,88,75,1.5,ZA,1602828173
Sakakah,29.97,40.21,22.0,26,0,1.86,SA,1602828173
Rikitea,-23.12,-134.97,23.56,77,100,7.63,PF,1602827990
Macao,22.2,113.55,31.0,69,20,5.7,MO,1602827898
Sitka,57.05,-135.33,8.0,70,40,2.17,US,1602828174
Kahului,20.89,-156.47,28.0,58,1,2.1,US,1602827879
Barrow,71.29,-156.79,-6.0,73,90,8.2,US,1602828165
Yambio,4.57,28.4,20.6,95,100,0.91,SS,1602828174
Kathu,7.92,98.33,30.0,74,20,4.1,TH,1602828175
Thompson,55.74,-97.86,-4.0,92,75,5.7,CA,1602828153
Daru,-9.08,143.21,26.39,74,89,5.62,PG,1602828175
Busselton,-33.65,115.33,22.22,32,5,2.81,AU,1602828154
Kumëny,58.11,49.92,6.0,70,98,7.49,RU,1602828175
Severo-Kuril'sk,50.68,156.12,4.38,82,55,8.14,RU,1602828176
Kavaratti,10.57,72.64,28.0,83,20,6.2,IN,1602828176
Kotido,2.98,34.13,25.32,50,0,6.65,UG,1602828176
Ushuaia,-54.8,-68.3,4.0,93,75,8.2,AR,1602828091
Hobart,-42.88,147.33,12.22,46,75,5.1,AU,1602827976
Mount Gambier,-37.83,140.77,16.0,59,75,5.7,AU,1602827893
Bluff,-46.6,168.33,8.89,85,100,4.02,NZ,1602828155
Ushuaia,-54.8,-68.3,4.0,93,75,8.2,AR,1602828091
Tiksi,71.69,128.87,-6.26,97,91,0.74,RU,1602828178
Ceahlău,47.05,25.97,11.11,99,80,1.28,RO,1602828178
Hobart,-42.88,147.33,12.22,46,75,5.1,AU,1602827976
Utena,55.5,25.6,5.23,87,96,3.63,LT,1602828178
Ilulissat,69.22,-51.1,1.0,74,99,2.1,GL,1602828179
Beringovskiy,63.05,179.32,4.83,87,66,5.8,RU,1602828179
Yellowknife,62.46,-114.35,-3.89,73,90,6.7,CA,1602828086
Longyearbyen,78.22,15.64,-2.0,68,75,10.8,SJ,1602827897
Albany,42.6,-73.97,15.0,60,91,2.12,US,1602827898
Norman Wells,65.28,-126.83,-12.0,85,40,3.6,CA,1602827883
Bluff,-46.6,168.33,8.89,85,100,4.02,NZ,1602828155
Mar del Plata,-38.0,-57.56,14.0,100,90,4.6,AR,1602827963
Yerbogachën,61.28,108.01,-2.31,87,39,6.48,RU,1602828180
Palmer,42.16,-72.33,17.78,88,90,2.1,US,1602827945
Loreto,22.27,-101.97,16.68,61,29,3.27,MX,1602828181
Vaini,-21.2,-175.2,24.0,88,75,3.1,TO,1602828163
Mil'kovo,54.72,158.62,4.05,69,57,4.91,RU,1602828181
Tuktoyaktuk,69.45,-133.04,-6.0,79,90,5.7,CA,1602828182
Rikitea,-23.12,-134.97,23.56,77,100,7.63,PF,1602827990
Snezhnogorsk,69.19,33.25,1.0,86,75,4.0,RU,1602828182
Busselton,-33.65,115.33,22.22,32,5,2.81,AU,1602828154
Hobart,-42.88,147.33,12.22,46,75,5.1,AU,1602827976
Hermanus,-34.42,19.23,16.67,75,99,4.02,ZA,1602828167
Yellowknife,62.46,-114.35,-3.89,73,90,6.7,CA,1602828086
Sarab,38.61,44.99,18.64,36,0,0.67,IR,1602828183
George Town,5.41,100.34,32.0,79,40,3.1,MY,1602828014
Lompoc,34.64,-120.46,19.0,63,1,2.6,US,1602828183
Pevek,69.7,170.31,3.19,88,100,7.93,RU,1602828184
Camargo,27.67,-105.17,18.36,35,72,5.14,MX,1602828184
Ponta do Sol,32.67,-17.1,19.0,72,20,3.6,PT,1602828185
Lavrentiya,65.58,-171.0,3.34,94,100,11.51,RU,1602828147
Albany,42.6,-73.97,15.0,60,91,2.12,US,1602827898
Rikitea,-23.12,-134.97,23.56,77,100,7.63,PF,1602827990
Bilma,18.69,12.92,28.51,17,0,2.6,NE,1602828185
Hong Kong,22.29,114.16,30.56,48,42,4.92,HK,1602827864
Jamestown,42.1,-79.24,8.33,93,90,3.1,US,1602828167
Broken Hill,-31.95,141.43,26.0,36,75,9.3,AU,1602828006
Kiryat Gat,31.61,34.76,23.33,74,24,2.03,IL,1602828186
Carnarvon,-24.87,113.63,25.0,61,0,8.7,AU,1602828145
Bengkulu,-3.8,102.27,29.7,66,57,3.66,ID,1602828150
Nikolskoye,59.7,30.79,2.22,93,75,2.0,RU,1602828161
Kutum,14.2,24.67,26.16,17,0,5.27,SD,1602828187
Batagay,67.63,134.63,-9.33,93,71,0.33,RU,1602828187
Omboué,-1.57,9.26,24.29,79,100,2.21,GA,1602828187
Itarema,-2.92,-39.92,26.32,80,59,6.23,BR,1602828187
Hithadhoo,-0.6,73.08,28.24,73,96,7.81,MV,1602828188
Vila Nova da Telha,41.07,-8.64,11.67,72,31,1.34,PT,1602828188
Vigrestad,58.57,5.7,2.0,93,20,0.5,NO,1602828189
Puerto Madero,14.72,-92.42,25.63,86,89,3.14,MX,1602828189
Ilulissat,69.22,-51.1,1.0,74,99,2.1,GL,1602828179
Ponta do Sol,32.67,-17.1,19.0,72,20,3.6,PT,1602828185
Arraial do Cabo,-22.97,-42.03,21.37,83,95,6.23,BR,1602828190
Havre-St-Pierre,50.23,-63.6,5.0,93,1,4.6,CA,1602828190
Bathsheba,13.22,-59.52,28.0,78,40,7.2,BB,1602828190
Punta Arenas,-53.15,-70.92,7.0,75,64,9.8,CL,1602827923
Cape Town,-33.93,18.42,16.0,63,92,2.6,ZA,1602827933
Muskogee,35.58,-95.33,13.0,47,75,3.6,US,1602828074
Yellowknife,62.46,-114.35,-3.89,73,90,6.7,CA,1602828086
Hobart,-42.88,147.33,12.22,46,75,5.1,AU,1602827976
Hermanus,-34.42,19.23,16.67,75,99,4.02,ZA,1602828167
Phan Thiet,10.93,108.1,26.1,87,100,5.34,VN,1602828191
Zhezkazgan,47.8,67.71,15.96,32,0,1.13,KZ,1602828192
Yarega,63.44,53.58,-1.4,94,100,4.01,RU,1602828192
Bluff,-46.6,168.33,8.89,85,100,4.02,NZ,1602828155
Iqaluit,63.75,-68.51,1.0,100,90,2.1,CA,1602828012
Busselton,-33.65,115.33,22.22,32,5,2.81,AU,1602828154
Smolenka,52.14,113.5,7.0,45,40,7.0,RU,1602828192
Jampur,29.64,70.6,35.59,10,0,1.73,PK,1602828193
Waitati,-45.75,170.57,9.44,86,100,8.94,NZ,1602828193
George Town,5.41,100.34,32.0,79,40,3.1,MY,1602828014
Logroño,42.47,-2.45,7.0,87,20,3.6,ES,1602828141
Yar-Sale,66.83,70.83,0.04,92,100,3.29,RU,1602828193
Dikson,73.51,80.55,-1.53,98,95,6.57,RU,1602828194
Portland,45.52,-122.68,11.67,71,1,0.99,US,1602828004
Matara,5.95,80.54,30.25,65,82,6.98,LK,1602828194
Sosnovo-Ozerskoye,52.52,111.54,2.76,81,100,7.86,RU,1602828194
Clyde River,70.47,-68.59,1.0,100,90,9.3,CA,1602828194
Hilo,19.73,-155.09,26.0,74,1,3.26,US,1602828158
Cape Town,-33.93,18.42,16.0,63,92,2.6,ZA,1602827933
Busselton,-33.65,115.33,22.22,32,5,2.81,AU,1602828154
Ushuaia,-54.8,-68.3,4.0,93,75,8.2,AR,1602828091
Punta Arenas,-53.15,-70.92,7.0,75,64,9.8,CL,1602827923
Olafsvik,64.89,-23.71,8.54,75,79,2.25,IS,1602828197
Bakchar,57.02,82.07,3.43,72,12,2.4,RU,1602828197
Nuevo Progreso,23.17,-97.95,23.89,68,23,0.62,MX,1602828197
Grindavik,63.84,-22.43,8.0,81,90,2.6,IS,1602828198
Atuona,-9.8,-139.03,25.96,76,1,8.94,PF,1602828149
Saint George,37.1,-113.58,21.0,12,1,3.6,US,1602828089
Yatou,37.15,122.38,18.14,58,100,3.49,CN,1602828198
Lebu,-37.62,-73.65,10.07,84,0,4.93,CL,1602828200
Busselton,-33.65,115.33,22.22,32,5,2.81,AU,1602828154
Tahoua,14.89,5.27,25.0,83,15,1.0,NE,1602828200
Kavaratti,10.57,72.64,28.0,83,20,6.2,IN,1602828176
Hermanus,-34.42,19.23,16.67,75,99,4.02,ZA,1602828167
Yellowknife,62.46,-114.35,-3.89,73,90,6.7,CA,1602828086
Tuktoyaktuk,69.45,-133.04,-6.0,79,90,5.7,CA,1602828182
Hamilton,39.18,-84.53,8.33,87,90,3.6,US,1602828089
Bollnäs,61.35,16.39,4.78,87,70,1.73,SE,1602827906
Vaini,-21.2,-175.2,24.0,88,75,3.1,TO,1602828163
New Norfolk,-42.78,147.06,12.22,48,89,0.89,AU,1602828202
Ponta do Sol,32.67,-17.1,19.0,72,20,3.6,PT,1602828185
Duluth,46.78,-92.11,2.0,74,1,3.6,US,1602828083
Port Alfred,-33.59,26.89,18.94,69,42,1.3,ZA,1602828145
Ushuaia,-54.8,-68.3,4.0,93,75,8.2,AR,1602828091
Avarua,-21.21,-159.78,21.0,68,88,1.0,CK,1602828203
Acaraú,-2.89,-40.12,26.25,81,36,6.79,BR,1602828203
Sayyan,15.17,44.32,15.75,29,0,2.25,YE,1602828204
Hobart,-42.88,147.33,12.22,46,75,5.1,AU,1602827976
Saskylakh,71.92,114.08,-8.85,96,96,3.58,RU,1602828170
Honiara,-9.43,159.95,31.0,66,20,3.1,SB,1602828157
Jamestown,42.1,-79.24,8.33,93,90,3.1,US,1602828167
Dingle,11.0,122.67,29.7,73,100,1.9,PH,1602828205
Mayo,38.89,-76.51,20.0,93,1,2.1,US,1602828205
Busselton,-33.65,115.33,22.22,32,5,2.81,AU,1602828154
Shklo,49.96,23.54,7.0,100,75,2.0,UA,1602828205
Hithadhoo,-0.6,73.08,28.24,73,96,7.81,MV,1602828188
Taoudenni,22.68,-3.98,27.62,19,0,4.56,ML,1602827936
Uttaradit,17.67,100.5,33.0,63,20,2.1,TH,1602828206
Rikitea,-23.12,-134.97,23.56,77,100,7.63,PF,1602827990
Marawi,8.0,124.29,28.33,83,100,2.68,PH,1602828169
Mataura,-46.19,168.86,8.89,85,100,4.02,NZ,1602828143
Togul,53.47,85.91,9.01,74,88,1.03,RU,1602828206
Albany,42.6,-73.97,15.0,60,91,2.12,US,1602827898
Khatanga,71.97,102.5,-15.95,93,28,3.1,RU,1602828152
Carnarvon,-24.87,113.63,25.0,61,0,8.7,AU,1602828145
Carnarvon,-24.87,113.63,25.0,61,0,8.7,AU,1602828145
Sibolga,1.74,98.78,29.99,62,46,2.81,ID,1602828208
Rocha,-34.48,-54.33,11.63,94,79,2.12,UY,1602827906
Jamestown,42.1,-79.24,8.33,93,90,3.1,US,1602828167
Hermanus,-34.42,19.23,16.67,75,99,4.02,ZA,1602828167
São João da Barra,-21.64,-41.05,21.48,88,94,5.11,BR,1602828160
Yellowknife,62.46,-114.35,-3.89,73,90,6.7,CA,1602828086
Avarua,-21.21,-159.78,21.0,68,88,1.0,CK,1602828203
Hasaki,35.73,140.83,17.78,67,75,7.7,JP,1602827917
Hokitika,-42.72,170.97,9.93,79,98,3.89,NZ,1602828210
Pochutla,15.74,-96.47,25.0,86,86,1.53,MX,1602828210
Batagay-Alyta,67.8,130.41,-9.58,93,26,1.22,RU,1602828210
Teknāf,20.86,92.31,32.34,61,27,3.59,BD,1602828211
Preobrazheniye,42.9,133.91,12.33,47,1,6.1,RU,1602828211
Hong Kong,22.29,114.16,30.56,48,42,4.92,HK,1602827864
Arraial do Cabo,-22.97,-42.03,21.37,83,95,6.23,BR,1602828190
Buala,-8.14,159.59,28.85,71,39,1.68,SB,1602828184
Kruisfontein,-34.0,24.73,19.44,71,49,1.79,ZA,1602828151
Kirkland Lake,48.14,-80.04,1.0,86,90,3.6,CA,1602828213
